Type,ID,ParentReqID,Principle,Title,FullText,Category,AIVSS_Primary,AIVSS_Secondary,ASI_ID,Confidence,Review_Priority,Rationale
Requirement,A001,,Data & Privacy,A001: Establish input data policy,"Establish and communicate AI input data policies covering how customer data is used for model training, inference processing, data retention periods, and customer data rights",,Agent Memory & Context Manipulation,Agent Untraceability,,High,OK,"Input data policies govern how data enters agent memory and context, directly addressing manipulation risks. Policies also support audit."
Control,A001.1,A001,Data & Privacy,"A001.1 Documentation: Policy for input data ownership, usage and retention","- Defining and communicating input data usage policies. Including specifying how customer data is used for inference and model training, establishing data retention periods, and documenting customer data rights.",Legal Policies,Agent Untraceability,,,Medium,OK,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Control,A001.2,A001,Data & Privacy,A001.2 Config: Data retention implementation,"- Implementing technical controls to enforce data retention and deletion policies. For example, automating data deletion based on retention schedules, using secure removal mechanisms, and managing data lifecycles.",Technical Implementation,Agent Untraceability,,,Medium,P2,"Detected cues: rag, tool, audit, rce. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Control,A001.3,A001,Data & Privacy,A001.3 Documentation: Data subject right processes,"- Documenting processes for handling end-user data subject rights. For example, handling requests for opt-in/opt-out rights, access, portability, or deletion of input data.",Legal Policies,Agent Untraceability,Agent Memory & Context Manipulation,,Medium,OK,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Memory & Context Manipulation.
Requirement,A002,,Data & Privacy,A002: Establish output data policy,"Establish AI output ownership, usage, opt-out and deletion policies to customers and communicate these policies",,Agent Untraceability,,,High,OK,"Output data policies establish ownership and accountability for AI-generated content, directly supporting traceability."
Control,A002.1,A002,Data & Privacy,A002.1 Documentation: Output usage and ownership policy,"- Establishing output ownership and usage rights policies. For example, specifying customer ownership of AI-generated outputs versus AI inputs, defining permitted uses of outputs (commercial use, redistribution, modification), documenting usage restrictions or limitations, and clarifying how ownership applies to different output types or use cases.
- Disclosing opt-out and deletion procedures for AI outputs. For example, documenting how customers can opt out of output storage or reuse, explaining deletion request processes, specifying retention periods and data handling practices, and clarifying how customers can control or revoke permissions for their outputs.",Legal Policies,Agent Untraceability,,,Medium,OK,Detected cues: rag. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Requirement,A003,,Data & Privacy,A003: Limit AI agent data collection,Implement safeguards to limit AI agent data access to task-relevant information based on user roles and context,,Agent Memory & Context Manipulation,,ASI06,High,OK,Detected cues: context. ASI label inferred: ASI06 (Memory & Context Poisoning). Mapped primarily to AIVSS core risk 'Agent Memory & Context Manipulation' as the most direct agentic failure mode mitigated.
Control,A003.1,A003,Data & Privacy,A003.1 Config: Data collection scoping,"- Configuring data collection limits to reduce data and privacy exposure. For example, limiting data collection to task-relevant information based on context, implementing scoping based on user roles or workflow requirements, and avoiding persistent or out-of-scope data access.",Technical Implementation,Agent Memory & Context Manipulation,,ASI06,High,OK,"Detected cues: rag, context, eval. ASI label inferred: ASI06 (Memory & Context Poisoning). Mapped primarily to AIVSS core risk 'Agent Memory & Context Manipulation' as the most direct agentic failure mode mitigated."
Control,A003.2,A003,Data & Privacy,A003.2 Config: Alerting system for auth failures,- Deploying monitoring mechanisms. Including ensuring AI systems only perform necessary inference and logging deviations from defined operational scope.,Technical Implementation,Agent Untraceability,Agent Memory & Context Manipulation,ASI06,High,P1,"Detected cues: context, logging. ASI label inferred: ASI06 (Memory & Context Poisoning). Mapped primarily to AIVSS core risk 'Agent Memory & Context Manipulation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Memory & Context Manipulation, Agent Untraceability. ASI→AIVSS bridge used to resolve ambiguity via Appendix A alignment."
Control,A003.3,A003,Data & Privacy,A003.3 Config: Authorization system integration,"- Integrating with existing authorization systems to align agent access permissions with organizational policies.
",Technical Implementation,Agent Access Control Violation,Agentic AI Tool Misuse,ASI06,High,P1,"Detected cues: context, tool, integration, oauth. ASI label inferred: ASI06 (Memory & Context Poisoning). Mapped primarily to AIVSS core risk 'Agent Memory & Context Manipulation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Memory & Context Manipulation, Agentic AI Tool Misuse. ASI→AIVSS bridge used to resolve ambiguity via Appendix A alignment."
Requirement,A004,,Data & Privacy,A004: Protect IP & trade secrets,Implement safeguards or technical controls to prevent AI systems from leaking company intellectual property or confidential information,,Agent Access Control Violation,,,Medium,P2,Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated.
Control,A004.1,A004,Data & Privacy,A004.1 Documentation: User guidance on confidential information,"- Providing user guidance on protecting confidential information. For example, instructing employees not to input trade secrets, proprietary code, or confidential business information into AI systems, communicating data handling policies for AI tool usage, or establishing clear guidelines on what information can and cannot be shared with AI agents.",Technical Implementation,Agent Access Control Violation,Agent Untraceability,,Medium,P1,Detected cues: tool. Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability.
Control,A004.2,A004,Data & Privacy,A004.2 Documentation: foundational model IP protections,"- Leveraging foundation model provider protections. For example, using providers with zero data retention policies, requiring contractual commitments that inputs are not used for training, selecting models with enhanced privacy guarantees for sensitive use cases.",Legal Policies,Agent Supply Chain & Dependency Risk,Agent Access Control Violation,,Medium,P1,Detected cues: rag. Mapped primarily to AIVSS core risk 'Agent Supply Chain & Dependency Risk' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Access Control Violation.
Control,A004.3,A004,Data & Privacy,A004.3 Config: IP detection implementation,- Implementing technical controls to detect proprietary information in outputs.,Technical Implementation,Agent Access Control Violation,Agent Untraceability,ASI03,Medium,P2,"Detected cues: api, label. ASI label inferred: ASI03 (Identity & Privilege Abuse). Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability."
Control,A004.4,A004,Data & Privacy,A004.4 Config: IP disclosure monitoring,"- Establishing output monitoring for high-risk IP scenarios. For example, logging AI responses that accessed confidential data sources, implementing human review workflows for outputs flagged as potentially containing sensitive information.",Technical Implementation,Agent Untraceability,,ASI09,High,OK,"Detected cues: logging, audit, rce, disclosure, approval. ASI label inferred: ASI09 (Human-Agent Trust Exploitation). Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Requirement,A005,,Data & Privacy,A005: Prevent cross-customer data exposure,Implement safeguards to prevent cross-customer data exposure when combining customer data from multiple sources,,Agent Access Control Violation,Agent Memory & Context Manipulation,,Medium,OK,"Detected cues: cross-customer, rce. Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Memory & Context Manipulation."
Control,A005.1,A005,Data & Privacy,A005.1 Documentation: Consent for combined data usage,"- Establishing explicit consent and disclosure for combined data usage. For example, informing customers when their data will be combined with competitor data, disclosing data anonymization and abstraction policies, providing opt-out mechanisms.",Legal Policies,Agent Untraceability,Agent Access Control Violation,,Medium,P1,"Detected cues: cross-customer, rce, consent, disclosure. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Access Control Violation."
Control,A005.2,A005,Data & Privacy,A005.2 Config: Customer data isolation controls,"- Implementing customer data isolation controls. For example, enforcing strict logical and physical separation of customer data, applying tenant-specific encryption, validating data flow boundaries in shared infrastructure, establishing technical barriers between customer datasets during training.",Technical Implementation,Agent Access Control Violation,Agent Memory & Context Manipulation,ASI06,High,P1,"Detected cues: rag, vector, tenant, cross-customer, rce. ASI label inferred: ASI06 (Memory & Context Poisoning). Mapped primarily to AIVSS core risk 'Agent Memory & Context Manipulation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Memory & Context Manipulation, Insecure Agent Critical Systems Interaction. ASI→AIVSS bridge used to resolve ambiguity via Appendix A alignment."
Control,A005.3,A005,Data & Privacy,A005.3 Config: Privacy-enhancing controls,- Implementing specific privacy-enhancing technologies (PETs) to reduce competitive exposure.,Technical Implementation,Agent Access Control Violation,Agent Memory & Context Manipulation,,Medium,OK,"Detected cues: token, cross-customer, rce. Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Memory & Context Manipulation."
Requirement,A006,,Data & Privacy,A006: Prevent PII leakage,Establish safeguards to prevent personal data leakage through AI outputs,,Agent Access Control Violation,Agent Memory & Context Manipulation,,High,OK,"PII guardrails enforce data access boundaries, preventing unauthorized access to sensitive information."
Control,A006.1,A006,Data & Privacy,A006.1 Config: PII detection and filtering,"- Implementing safeguards to prevent personal data leakage through AI system outputs and logs. For example, filtering prompts and outputs for personal identifiers before storage or display, implementing automated PII detection and redaction in system logs, preventing retention of outputs containing sensitive personal information, or blocking responses that would expose personal identifiers.",Technical Implementation,Agent Access Control Violation,Agent Untraceability,,Medium,P1,"Detected cues: rag, logging, pii, personal data. Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability."
Control,A006.2,A006,Data & Privacy,A006.2 Config: PII access controls,"- Requiring authentication and authorization for PII access. For example, role-based access controls for PII-containing systems, multi-factor authentication for sensitive data access, or approval-gated access to customer information.",Technical Implementation,Agent Access Control Violation,Agent Untraceability,ASI03,High,P1,"Detected cues: tool, rce, approval, pii, personal data. ASI label inferred: ASI03 (Identity & Privilege Abuse). Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability."
Control,A006.3,A006,Data & Privacy,A006.3 Config: DLP system integration,- Integrating with existing data loss prevention (DLP) systems to monitor and block outputs containing personal data in violation of policy.,Technical Implementation,Agent Untraceability,,,Medium,P2,"Detected cues: integration, pii, personal data. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Requirement,A007,,Data & Privacy,A007: Prevent IP violations,"Implement safeguards and technical controls to prevent AI outputs from violating copyrights, trademarks, or other third-party intellectual property rights",,Agent Supply Chain & Dependency Risk,Agent Untraceability,ASI04,High,OK,IP violation prevention addresses risks from training data and model dependencies containing copyrighted content. Content provenance tracking supports traceability.
Control,A007.1,A007,Data & Privacy,A007.1 Documentation: Model provider IP infringement protections,"- Documenting foundation model provider IP protections which may serve as primary infringement safeguards. For example, indemnification clauses or copyright/trademark guardrails.",Legal Policies,Agent Supply Chain & Dependency Risk,,ASI04,Medium,P1,Detected cues: rag. ASI label inferred: ASI04 (Agentic Supply Chain Vulnerabilities). Mapped primarily to AIVSS core risk 'Agent Supply Chain & Dependency Risk' as the most direct agentic failure mode mitigated.
Control,A007.2,A007,Data & Privacy,A007.2 Config: IP infringement filtering,"- Establishing supplementary content filtering mechanisms where provider protections have gaps or limitations. For example, detecting copyrighted material in outputs, implementing trademark screening.",Technical Implementation,Agent Supply Chain & Dependency Risk,Agent Untraceability,ASI04,High,OK,IP infringement filtering addresses risks from training data containing copyrighted content. Content provenance tracking supports traceability.
Control,A007.3,A007,Data & Privacy,A007.3 Logs: User-facing notices,"- Implementing user guidance and guardrails to reduce IP risk. For example, usage policies that explain prohibited content types, user warnings in product, restricting output generation in known infringement domains.
- Implementing restrictions in AI acceptable use policy.",Technical Implementation,Agent Supply Chain & Dependency Risk,Agent Untraceability,ASI04,High,OK,User-facing IP guidance reduces risk of generating infringing content derived from training data. Notices support traceability.
Requirement,B001,,Security,B001: Third-party testing of adversarial robustness,Implement adversarial testing program to validate system resilience against adversarial inputs and prompt injection attempts in line with adversarial threat taxonomy,,Agent Goal & Instruction Manipulation,Agent Untraceability,ASI01,High,OK,Adversarial testing validates resilience against prompt injection and goal hijacking attacks. Testing records support traceability.
Control,B001.1,B001,Security,B001.1 Report: adversarial testing results,"- Establishing a taxonomy for adversarial risks. For example, drawing on NIST's AI 100-2e2023 attack classifications and aligning these to system architecture and use cases.
- Conducting comprehensive adversarial testing at least quarterly. For example, performing structured red-teaming, prompt injection assessments, jailbreaking attempts, adversarial perturbation testing, semantic manipulation, and simulated malicious tool invocations.
- Maintaining secure testing documentation. For example, recording test cases, methods, outcomes, and system behaviors with restricted access controls, implementing secure storage for sensitive testing materials.
- Establishing improvement processes based on findings. For example, assigning owners and remediation timelines based on test severity, tracking fixes through risk registers or issue management systems, documenting updates to safeguards and procedures.",Third-party Evals,Agent Goal & Instruction Manipulation,,ASI01,High,P2,"Detected cues: prompt injection, jailbreak, rag, tool, eval, testing. ASI label inferred: ASI01 (Agent Goal Hijack). Mapped primarily to AIVSS core risk 'Agent Goal & Instruction Manipulation' as the most direct agentic failure mode mitigated."
Control,B001.2,B001,Security,B001.2 Documentation: Security program integration,"- Aligning adversarial testing with broader security testing programs. For example, integrating AI-specific test cases into broader penetration testing, sharing threat models across red/blue teams, aligning test cycles with security audit and compliance calendars.",Operational Practices,Agent Goal & Instruction Manipulation,Agent Untraceability,ASI01,High,OK,Security program integration for adversarial testing detects goal manipulation attacks (prompt injection). Testing records support traceability.
Requirement,B002,,Security,B002: Detect adversarial input,Implement monitoring capabilities to detect and respond to adversarial inputs and prompt injection attempts,,Agent Goal & Instruction Manipulation,,ASI01,Medium,OK,Detected cues: prompt injection. ASI label inferred: ASI01 (Agent Goal Hijack). Mapped primarily to AIVSS core risk 'Agent Goal & Instruction Manipulation' as the most direct agentic failure mode mitigated.
Control,B002.1,B002,Security,B002.1 Config: Adversarial input detection and alerting,"- Establishing detection and alerting. For example, implementing monitoring for prompt injection patterns, jailbreak techniques, adversarial input attempts, and exceeding rate limits, configuring alerts and threat notifications for suspicious activities.",Technical Implementation,Agent Goal & Instruction Manipulation,,ASI01,Medium,OK,"Detected cues: prompt injection, jailbreak, rate limit. ASI label inferred: ASI01 (Agent Goal Hijack). Mapped primarily to AIVSS core risk 'Agent Goal & Instruction Manipulation' as the most direct agentic failure mode mitigated."
Control,B002.2,B002,Security,B002.2 Logs: Adversarial incident and response,"- Implementing incident logging and response procedures. For example, logging suspected adversarial attacks with relevant context, escalating to designated personnel based on severity, and documenting response actions in a centralized system.",Technical Implementation,Agent Untraceability,Agent Goal & Instruction Manipulation; Agent Memory & Context Manipulation,ASI06,High,OK,Incident logging and response for adversarial attacks provides traceability. Detection of goal manipulation and memory poisoning attempts is secondary.
Control,B002.3,B002,Security,B002.3 Documentation: Updates to detection config,"- Maintaining detection effectiveness through quarterly reviews. For example, updating detection rules based on emerging adversarial techniques, analyzing incident patterns and documenting system improvements.",Technical Implementation,Agent Goal & Instruction Manipulation,Agent Untraceability,ASI01,Medium,OK,Detected cues: prompt injection. ASI label inferred: ASI01 (Agent Goal Hijack). Mapped primarily to AIVSS core risk 'Agent Goal & Instruction Manipulation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability.
Control,B002.4,B002,Security,B002.4 Config: Pre-processing adversarial detection,"- Implementing adversarial input detection prior to AI model processing where feasible. For example, using pre-processing filters to flag likely threats before model processing.",Technical Implementation,Agent Goal & Instruction Manipulation,,ASI01,Medium,P2,"Detected cues: prompt injection, api. ASI label inferred: ASI01 (Agent Goal Hijack). Mapped primarily to AIVSS core risk 'Agent Goal & Instruction Manipulation' as the most direct agentic failure mode mitigated."
Control,B002.5,B002,Security,B002.5 Config: AI security alerts,"- Integrating adversarial input detection into existing security operations tooling. For example, forwarding flagged inputs to SIEM platforms, correlating detection with authentication and network logs, enabling SOC teams to triage AI-related security events.",Technical Implementation,Agent Untraceability,,ASI01,Medium,P1,"Detected cues: prompt injection, tool, integration. ASI label inferred: ASI01 (Agent Goal Hijack). Mapped primarily to AIVSS core risk 'Agent Goal & Instruction Manipulation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Goal & Instruction Manipulation. ASI→AIVSS bridge used to resolve ambiguity via Appendix A alignment."
Requirement,B003,,Security,B003: Manage public release of technical details,Implement controls to prevent over-disclosure of technical information about AI systems and organizational details that could enable adversarial targeting,,Agent Supply Chain & Dependency Risk,Agent Goal & Instruction Manipulation,ASI04,High,OK,Controlling technical disclosure prevents attackers from learning system architecture to craft targeted attacks. This protects the supply chain by limiting attack surface knowledge. Goal manipulation is secondary as disclosure enables prompt injection attacks.
Control,B003.1,B003,Security,B003.1 Documentation: Technical information disclosure guidelines,"- Documenting limitations on technical information release. For example, limiting public disclosure of model architectures, algorithms, training data details, system configurations, and performance metrics, requiring approval before sharing technical specifications or implementation details.
- Controlling organizational information to balance transparency with security. For example, limiting disclosure of AI team details, development timelines, and other information that could reveal technical capabilities, reviewing public communications for sensitive information.",Operational Practices,Agent Untraceability,,ASI09,High,OK,"Detected cues: disclosure, approval. ASI label inferred: ASI09 (Human-Agent Trust Exploitation). Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Control,B003.2,B003,Security,B003.2 Documentation: Public disclosure approval records,"- Establishing approval processes. For example, requiring designated review for public content referencing AI capabilities in e.g. publications, presentations, and marketing materials, and documenting approved disclosures with business justification.",Operational Practices,Agent Untraceability,,ASI09,High,OK,"Detected cues: disclosure, approval. ASI label inferred: ASI09 (Human-Agent Trust Exploitation). Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Requirement,B004,,Security,B004: Prevent AI endpoint scraping,Implement safeguards to prevent probing or scraping of external AI endpoints,,Agentic AI Tool Misuse,Agent Access Control Violation,,High,OK,Preventing endpoint scraping stops misuse of AI APIs as attack tools. Access controls provide additional protection.
Control,B004.1,B004,Security,B004.1 Config: Anomalous usage detection,"- Implementing systems distinguishing between high-volume legitimate usage and adversarial behavior. For example, using behavioral analytics and user profiling to calibrate detection thresholds and prevent false positives against trusted users.",Technical Implementation,Agentic AI Tool Misuse,Agent Memory & Context Manipulation; Insecure Agent Critical Systems Interaction,ASI02,Medium,P1,"Detected cues: tool, api, scraping, rate limit. ASI label inferred: ASI02 (Tool Misuse & Exploitation). Mapped primarily to AIVSS core risk 'Agentic AI Tool Misuse' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Memory & Context Manipulation, Insecure Agent Critical Systems Interaction."
Control,B004.2,B004,Security,B004.2 Config: Rate limits,"- Implementing rate limiting and query restrictions. For example, establishing per-user quotas to prevent model extraction, blocking excessive query patterns, implementing progressive restrictions for suspicious behavior, or using economic disincentives for high-volume usage.",Technical Implementation,Agentic AI Tool Misuse,,ASI02,High,OK,"Detected cues: tool, api, scraping, rate limit, quota. ASI label inferred: ASI02 (Tool Misuse & Exploitation). Mapped primarily to AIVSS core risk 'Agentic AI Tool Misuse' as the most direct agentic failure mode mitigated."
Control,B004.3,B004,Security,B004.3 Report: External pentest of AI endpoints,"- Conducting simulated external attack testing of AI endpoints. For example, performing automated attack simulations, testing endpoint protection effectiveness against high-volume and distributed attacks, and documenting methodologies appropriate to organizational threat profile.",Technical Implementation,Agent Supply Chain & Dependency Risk,,ASI04,Medium,OK,"Detected cues: api, rce, scraping, rate limit, testing. ASI label inferred: ASI04 (Agentic Supply Chain Vulnerabilities). Mapped primarily to AIVSS core risk 'Agent Supply Chain & Dependency Risk' as the most direct agentic failure mode mitigated."
Control,B004.4,B004,Security,B004.4 Documentation: Vulnerability remediation,"- Maintaining endpoint security through remediation. For example, tracking identified vulnerabilities, implementing protective measures based on testing outcomes, and regularly updating endpoint defenses and detection thresholds.",Technical Implementation,Insecure Agent Critical Systems Interaction,Agent Untraceability,,Medium,P1,"Detected cues: api, scraping, testing, approval. Mapped primarily to AIVSS core risk 'Insecure Agent Critical Systems Interaction' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability."
Requirement,B005,,Security,B005: Implement real-time input filtering,Implement real-time input filtering using automated moderation tools,,Agent Goal & Instruction Manipulation,Agent Untraceability,,High,OK,Input filtering primarily mitigates prompt injection and goal hijacking attacks. Logging of filtered inputs supports traceability.
Control,B005.1,B005,Security,B005.1 Config: Input filtering,"- Integrating automated moderation tools to filter inputs before they reach the foundation model. For example, integrating third-party moderation APIs, implementing custom filtering rules, configuring blocking or warning actions for flagged content, and establishing confidence thresholds based on risk category and severity",Technical Implementation,Agent Goal & Instruction Manipulation,Agent Untraceability,ASI04,High,OK,"Automated moderation tools detect and block prompt injection attempts, mitigating goal manipulation."
Control,B005.2,B005,Security,B005.2 Documentation: Input moderation approach,"- Documenting the moderation logic and rationale. For example, explaining chosen moderation tools, threshold justifications, and decision criteria for different risk categories.",Technical Implementation,Agent Goal & Instruction Manipulation,Agent Untraceability,,High,OK,Documentation of moderation approach supports accountability and refinement of goal manipulation defenses.
Control,B005.3,B005,Security,B005.3 Demonstration: Warning for blocked inputs,Providing feedback to users when inputs are blocked.,Technical Implementation,Agent Goal & Instruction Manipulation,Agent Untraceability,,High,OK,User warnings for blocked inputs provide transparency about goal manipulation defense mechanisms.
Control,B005.4,B005,Security,B005.4 Logs: Input filtering,"- Logging flagged prompts for analysis and refinement of filters, while ensuring compliance with privacy obligations.",Technical Implementation,Agent Untraceability,,,High,OK,"Detected cues: tool, logging, audit, disclosure. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Control,B005.5,B005,Security,B005.5 Documentation: Input filter performance,"- Periodically evaluating filter performance and adjusting thresholds accordingly. For example, accuracy, latency, false positives/negatives.",Technical Implementation,Agent Goal & Instruction Manipulation,Agent Untraceability,,High,OK,Filter performance monitoring ensures prompt injection defenses remain effective over time.
Requirement,B006,,Security,B006: Prevent unauthorized AI agent actions,Implement safeguards to limit AI agent system access based on context and declared objectives,,Agent Memory & Context Manipulation,,ASI06,Medium,OK,Detected cues: context. ASI label inferred: ASI06 (Memory & Context Poisoning). Mapped primarily to AIVSS core risk 'Agent Memory & Context Manipulation' as the most direct agentic failure mode mitigated.
Control,B006.1,B006,Security,B006.1 Config: Agent service access restrictions,"- Implementing technical restrictions that limit agent capabilities to authorized scope. For example, restricting agent access to approved backend services and APIs, enforcing network segmentation or API gateway rules, or implementing service-level authorization preventing access to sensitive systems.",Technical Implementation,Agent Access Control Violation,,ASI03,High,OK,Detected cues: api. ASI label inferred: ASI03 (Identity & Privilege Abuse). Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated.
Control,B006.2,B006,Security,B006.2 Config: Agent security monitoring and alerting,"- Deploying monitoring and alerting for agent actions that exceed security boundaries. For example, logging all agent service interactions, alerting on access attempts to unauthorized systems or APIs, or anomaly detection flagging unusual connection patterns.",Technical Implementation,Agent Untraceability,Agent Access Control Violation,,Medium,OK,"Detected cues: api, logging. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Access Control Violation."
Requirement,B007,,Security,B007: Enforce user access privileges to AI systems,Establish and maintain user access controls and admin privileges for AI systems in line with policy,,Agent Access Control Violation,Agent Untraceability,ASI03,High,OK,User access controls and privilege management directly prevent unauthorized access to AI systems. Audit trails support traceability of access changes.
Control,B007.1,B007,Security,B007.1 Config: User access controls,"- Implementing system-level access controls tailored to AI systems. For example, using role-based or attribute-based access to restrict access to model configuration, training datasets, tool-calling capabilities, or prompt logs, based on job function and system sensitivity.
- Restricting administrative and configuration privileges to authorized personnel. For example, limiting ability to alter system behavior, tools, or models.",Technical Implementation,Agent Access Control Violation,Agent Untraceability,ASI03,High,OK,"Detected cues: tool, rce. ASI label inferred: ASI03 (Identity & Privilege Abuse). Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability."
