Type,ID,ParentReqID,Principle,Title,FullText,Category,AIVSS_Primary,AIVSS_Secondary,ASI_ID,Confidence,Review_Priority,Rationale
Control,D003.4,D003,Reliability,D003.4 Config: Human-approval workflows,"- Requiring human approval for sensitive tool operations. For example, requiring human confirmation before executing high-risk actions, implementing approval workflows for operations beyond autonomous boundaries.",Operational Practices,Agentic AI Tool Misuse,Agent Access Control Violation; Agent Untraceability,,High,OK,Human approval workflows for sensitive tool operations prevent misuse of high-risk capabilities. Access controls and audit trails are secondary.
Control,D003.5,D003,Reliability,D003.5 Documentation: tool call log reviews,"- Reviewing patterns of AI tool usage. For example, identifying anomalies, updating tool permissions, and retiring unused or high-risk functions during scheduled evaluations.",Operational Practices,Agentic AI Tool Misuse,Agent Access Control Violation; Agent Untraceability,ASI03,Medium,OK,"Reviewing patterns of AI tool usage identifies anomalies and informs permission updates, addressing tool misuse. Access control and audit are secondary."
Requirement,D004,,Reliability,D004: Third-party testing of tool calls,"Appoint expert third-parties to evaluate tool calls in AI systems, including executing unauthorized actions, accessing restricted information, or making decisions beyond their intended scope at least every 3 months",,Agentic AI Tool Misuse,Agent Access Control Violation,ASI02,High,OK,Third-party testing of tool calls validates defenses against unauthorized tool execution. Access control testing is secondary.
Control,D004.1,D004,Reliability,D004.1 Report: Tool call testing,"- Appointing qualified third-party assessors. Including selecting assessors with relevant technical capabilities for identified risk areas, maintaining records of assessor qualifications and independence.
- Conducting regular testing. Including defining testing scope and methodologies based on risk taxonomy and performing assessments of tool calls at least every quarter.
- Maintaining documentation. Including testing scope, results, and remediation actions taken, tracking follow-up activities and resolution timelines.",Third-party Evals,Agentic AI Tool Misuse,Agent Supply Chain & Dependency Risk,ASI04,Medium,OK,"Pre-deployment testing of new tool integrations validates behavior, preventing tool misuse. Supply chain validation is secondary."
Requirement,E001,,Accountability,E001: AI failure plan for security breaches,"Document AI failure plan for AI privacy and security breaches assigning accountable owners and establishing notification and remediation with third-party support as needed (e.g. legal, PR, insurers)",,Agent Cascading Failures,Agent Untraceability,ASI08,High,OK,AI failure plans for security breaches establish response procedures to contain incidents before they cascade. Accountability assignments support traceability.
Control,E001.1,E001,Accountability,E001.1 Documentation: AI failure plan for security breaches,"- Assigning a breach response lead from existing staff. For example, IT manager, security officer, or designated executive with authority to engage external counsel and specialists as needed.
- Defining breach notification procedures. For example, customer communications, regulatory reporting requirements, and vendor notifications based on applicable privacy laws.
- Implementing security remediation measures. For example, system freeze capabilities, vulnerability fixes, access control updates, and coordination with external security consultants when internal expertise is insufficient.
- Establishing evidence collection requirements with guidance on preserving evidence for potential legal review. For example, system logs, user activity records, and basic documentation.",Operational Practices,Agent Untraceability,,ASI04,High,OK,"AI failure plans for security breaches establish response procedures and accountability, supporting traceability and cascade prevention."
Requirement,E002,,Accountability,E002: AI failure plan for harmful outputs,"Document AI failure plan for harmful AI outputs that cause significant customer harm assigning accountable owners and establishing remediation with third-party support as needed (e.g. legal, PR, insurers)",,Agent Goal & Instruction Manipulation,Agent Cascading Failures,ASI01,High,OK,Failure plans for harmful outputs address the consequences of goal manipulation attacks that produce dangerous content. Cascade prevention is secondary.
Control,E002.1,E002,Accountability,E002.1 Documentation: AI failure plan for harmful outputs,"- Implementing customer communication protocols. For example, disclosure procedures, explanation of corrective actions, and follow-up commitments with executive approval for significant incidents.
- Establishing immediate mitigation steps with designated staff responsibilities. For example, system freeze capabilities, output suppression, customer notification, and system adjustments.",Operational Practices,Agent Untraceability,Agent Supply Chain & Dependency Risk,ASI04,High,OK,"Customer communication and mitigation protocols for harmful outputs establish accountability and response procedures, supporting traceability."
Control,E002.2,E002,Accountability,E002.2 Documentation: Additional harmful output failure procedures,"- Defining harmful output categories with reference to risk taxonomy. For example, discriminatory content, offensive material, inappropriate recommendations, ideally with concrete examples.
- Coordinating external support engagement. For example,  legal counsel consultation, PR support, and insurance claim procedures.",Operational Practices,Agent Goal & Instruction Manipulation,Agent Untraceability,ASI01,High,OK,Defining harmful output categories addresses consequences of goal manipulation that produces dangerous content. Traceability is secondary.
Requirement,E003,,Accountability,E003: AI failure plan for hallucinations,"Document AI failure plan for hallucinated AI outputs that cause substantial customer financial loss assigning accountable owners and establishing remediation with third-party support as needed (e.g. legal, PR, insurers)",,Agent Cascading Failures,Agent Untraceability,ASI08,High,OK,Failure plans for hallucinations address scenarios where false agent outputs cascade into financial harm. Accountability supports traceability.
Control,E003.1,E003,Accountability,E003.1 Documentation: AI failure plan for hallucinations,"- Establishing compensation assessment procedures. For example, loss evaluation methods, settlement approaches, and payment authorization levels with appropriate approval requirements.
- Implementing remediation measures. For example, system freeze capabilities, model adjustments, output validation improvements, customer notification, and enhanced monitoring.",Operational Practices,Agent Untraceability,Agent Supply Chain & Dependency Risk,ASI03,Medium,OK,Compensation assessment and remediation procedures for hallucinations address cascading financial harm. Traceability is secondary.
Control,E003.2,E003,Accountability,E003.2 Documentation: Additional hallucination failure procedures,"- Defining hallucination incident types. 
- Coordinating potential external support. For example, legal consultation for significant claims, financial review when needed, and insurance coverage activation.",Operational Practices,Agent Untraceability,Agent Supply Chain & Dependency Risk,ASI04,Medium,OK,Defining hallucination incident types and coordinating external support addresses cascading financial harm from false outputs. Traceability is secondary.
Requirement,E004,,Accountability,E004: Assign accountability,"Document which AI system changes across the development & deployment lifecycle require formal review or approval, assign a lead accountable for each, and document their approval with supporting evidence",,Agent Untraceability,,,Medium,P2,Detected cues: approval. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Control,E004.1,E004,Accountability,E004.1 Documentation: Change approval policy and records,"- Defining AI system changes requiring approval including model selection, material changes to the meta prompt, adding / removing guardrails, changes to end-user workflow, other changes that drive material. For example, +/-10% performance on evals.
- Assigning an accountable lead as approver for each of these changes. Can follow a RACI structure to formalize roles of those consulted and informed.",Operational Practices,Agent Untraceability,,,High,OK,"Detected cues: eval, change management, approval. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Control,E004.2,E004,Accountability,E004.2 Config: Code signing implementation,"- Implementing code signing and verification processes for AI models, libraries, and deployment artefacts to ensure only digitally signed components are approved for production use.",Technical Implementation,Agent Supply Chain & Dependency Risk,Agent Untraceability,ASI04,Medium,OK,Code signing and verification for AI components addresses supply chain integrity by ensuring only approved artifacts reach production. Traceability is secondary.
Requirement,E005,,Accountability,E005: Assess cloud vs on-prem processing,"Establish criteria for selecting cloud provider, and circumstances for on-premises processing considering data sensitivity, regulatory requirements, security controls, and operational needs",,Agent Supply Chain & Dependency Risk,Agent Access Control Violation,ASI04,High,OK,Cloud vs on-prem decisions directly impact supply chain dependencies and third-party risk exposure. Access control considerations are secondary.
Control,E005.1,E005,Accountability,E005.1 Documentation: Deployment decisions,"- Conducting deployment risk assessments. For example, evaluating data sensitivity, regulatory compliance requirements, IP protection needs, and security controls for cloud vs. on-premises AI processing.
- Documenting decision criteria and rationale. For example, establishing clear selection factors, maintaining records of deployment choices with business justification.
- Reviewing deployment decisions when requirements change. For example, reassessing choices when data sensitivity, regulations, or threat landscape evolves.",Operational Practices,Agent Untraceability,,,Medium,OK,Detected cues: eval. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Requirement,E006,,Accountability,E006: Conduct vendor due diligence,"Establish AI vendor due diligence processes for foundation and upstream model providers covering data handling, PII controls, security and compliance",,Agent Supply Chain & Dependency Risk,Agent Untraceability,,Medium,OK,Detected cues: pii. Mapped primarily to AIVSS core risk 'Agent Supply Chain & Dependency Risk' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability.
Control,E006.1,E006,Accountability,E006.1 Documentation: Vendor due diligence,"- Defining assessment criteria for foundational or upstream AI models. For example, data handling and ownership practices, PII controls, security measures, compliance status, open-source.
- Conducting documented assessments. For example, scoring results, verification activities such as certifications reviewed and references contacted, and approval decisions. 
- Maintaining assessment records with sufficient detail for audit purposes and retaining due diligence evidence before vendor approval.",Operational Practices,Agent Untraceability,,,High,OK,"Detected cues: audit, rce, eval, approval, pii. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Requirement,E007,,Accountability,E007: [Retired] Document system change approvals,Merged with E004 - see changelog (Q1 2026 update),,Agent Untraceability,,,Medium,P2,Detected cues: approval. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Control,E007.1,E007,Accountability,E007.1 Retired,- Documenting formal review and approval decisions for changes defined in E004: Assign accountability.,,Agent Untraceability,,,Medium,P2,Detected cues: approval. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Requirement,E008,,Accountability,E008: Review internal processes,Establish regular internal reviews of key processes and document review records and approvals,,Agent Untraceability,,,Medium,P2,Detected cues: approval. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Control,E008.1,E008,Accountability,E008.1 Documentation: Internal review,"- Reviewing decision processes every quarter including AI system changes, foundational model selection, security assessment.
- Maintaining a centralized repository of decision records and internal review of these record. For example, supporting evidence reviewed, remediation plans.
- Documenting and tracking remediation of any risks identified.int",Operational Practices,Agent Untraceability,,,High,OK,"Detected cues: audit, approval. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Control,E008.2,E008,Accountability,E008.2 Documentation: External feedback integration,"- Collecting and implementing external feedback on AI systems. For example, system risks, new threat patterns, new mitigation strategies.",Operational Practices,Agent Untraceability,Agent Supply Chain & Dependency Risk,ASI04,Medium,OK,"Collecting and implementing external feedback helps identify emerging risks and improves system security, supporting supply chain resilience. Traceability is secondary."
Requirement,E009,,Accountability,E009: Monitor third-party access,Implement systems to monitor third party access,,Agent Supply Chain & Dependency Risk,Agent Untraceability,ASI04,Medium,OK,ASI label inferred: ASI04 (Agentic Supply Chain Vulnerabilities). Mapped primarily to AIVSS core risk 'Agent Supply Chain & Dependency Risk' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability.
Control,E009.1,E009,Accountability,E009.1 Config: Third-party access monitoring,"- Configuring logging for third-party interactions. For example, capturing API connections, user access sessions, data exchanges, and service integrations.
- Capturing access metadata. For example, user identification, authentication timestamps, accessed resources, session duration, origin IP addresses, and resource usage patterns.",Technical Implementation,Agent Untraceability,,ASI04,High,OK,"Third-party access monitoring provides visibility into external interactions with AI systems, directly supporting traceability and supply chain visibility."
Requirement,E010,,Accountability,E010: Establish AI acceptable use policy,Establish and implement an AI acceptable use policy,,Agent Untraceability,,,Medium,P2,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Control,E010.1,E010,Accountability,E010.1 Documentation: AI acceptable use policy,"- Defining prohibited AI usage for end-users. For example, jailbreak attempts, malicious prompt injection, unauthorized data extraction, generation of harmful content, and misuse of customer data.",Legal Policies,Agent Goal & Instruction Manipulation,,ASI01,High,P1,"Detected cues: prompt injection, jailbreak. ASI label inferred: ASI01 (Agent Goal Hijack). Mapped primarily to AIVSS core risk 'Agent Goal & Instruction Manipulation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Goal & Instruction Manipulation. ASI→AIVSS bridge used to resolve ambiguity via Appendix A alignment."
Control,E010.2,E010,Accountability,E010.2 Config: AUP violation detection,"- Implementing detection and monitoring tools. For example, prompt analysis, output filtering, usage pattern anomalies, and suspicious access attempts.",Technical Implementation,Agent Untraceability,,,Medium,P2,Detected cues: tool. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Control,E010.3,E010,Accountability,E010.3 Demonstration: User notification for AUP breaches,"- Implementing user feedback when policy is breached. For example, showing alerts or error messages when inputs violate acceptable use.",Technical Implementation,Agent Untraceability,,,Medium,P2,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Control,E010.4,E010,Accountability,E010.4 Documentation: Guardrails enforcing acceptable use,"- Real-time monitoring, blocking, or alerting capabilities.
- Maintaining logging and tracking systems. For example, incident creation, violation tracking with case assignment and resolution documentation.
- Conducting regular effectiveness reviews. For example, quarterly analysis of violation trends, tool performance assessment, policy updates based on emerging threats, and user training adjustments.",Technical Implementation,Agent Untraceability,,,High,P2,"Detected cues: tool, logging, rce. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Requirement,E011,,Accountability,E011: Record processing locations,Document AI data processing locations,,Agent Untraceability,,,Medium,P2,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Control,E011.1,E011,Accountability,E011.1 Documentation: AI processing locations,"- Maintaining AI infrastructure location documentation. For example, geographic locations of foundation model processing locations and inference endpoint regions, documenting third-party AI service provider data handling locations.
- Reviewing and updating documentation regularly.",Operational Practices,Agent Supply Chain & Dependency Risk,Agent Untraceability,ASI04,Medium,P1,ASI label inferred: ASI04 (Agentic Supply Chain Vulnerabilities). Mapped primarily to AIVSS core risk 'Agent Supply Chain & Dependency Risk' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability.
Control,E011.2,E011,Accountability,E011.2 Documentation: Data transfer compliance,"- Implementing transfer compliance procedures. For example, assessing data transfer requirements for AI training data and inference processing, maintaining approved transfer mechanisms for foundation model providers and AI infrastructure, mitigating transfer risk for cross-border AI model training.",Legal Policies,Agent Untraceability,,,Medium,OK,Detected cues: approval. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Requirement,E012,,Accountability,E012: Document regulatory compliance,"Document applicable AI laws and standards, required data protections, and strategies for compliance",,Agent Untraceability,,,Medium,OK,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Control,E012.1,E012,Accountability,E012.1 Documentation: Regulatory compliance reviews,"- Identifying relevant regulations. For example, data protection laws. For example, GDPR, CCPA, sector-specific requirements, emerging AI standards. For example, EU AI Act.
- Documenting compliance procedures and strategies appropriate for company size and operations.
- Reviewing the repository every 6 months and when additional requirements may be triggered. For example, regulations change or business operations expand into new jurisdictions.",Legal Policies,Agent Untraceability,,,Medium,OK,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Requirement,E013,,Accountability,E013: Implement quality management system,Establish a quality management system for AI systems proportionate to the size of the organization,,Agent Untraceability,,,Medium,P2,Detected cues: quality management. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Control,E013.1,E013,Accountability,E013.1 Documentation: Quality objectives and risk management,"- Defining quality objectives, metrics, and risk management approach for AI systems. For example, establishing performance targets, safety thresholds, risk assessment methodologies, and measurement processes appropriate to system risk level.",Operational Practices,Agent Untraceability,,,Medium,P2,"Detected cues: eval, quality management. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Control,E013.2,E013,Accountability,E013.2 Documentation: Change management procedures,"- Establishing change management, approval processes, and documentation standards. For example, defining review and approval requirements for AI system changes, assigning accountability for quality decisions, documenting design and development procedures.",Operational Practices,Agent Untraceability,,,Medium,P2,"Detected cues: change management, approval, quality management. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Control,E013.3,E013,Accountability,E013.3 Config: Issue tracking and monitoring,"- Implementing defect tracking, continuous improvement, and post-market monitoring. For example, maintaining issue tracking systems, conducting root cause analysis, documenting corrective actions, establishing post-market monitoring processes.",Technical Implementation,Agent Untraceability,,,High,OK,"Detected cues: tool, quality management. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Control,E013.4,E013,Accountability,E013.4 Documentation: Data management procedures,"- Establishing data management and record-keeping systems. For example, documenting data governance procedures, maintaining technical documentation, implementing record retention policies for model training data and system outputs.",Operational Practices,Agent Untraceability,,,High,OK,Detected cues: quality management. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Control,E013.5,E013,Accountability,E013.5 Documentation: Stakeholder communication procedures,"- Documenting communication procedures with regulatory authorities and stakeholders. For example, establishing protocols for regulatory reporting, stakeholder notifications for incidents, and procedures for authority interactions.",Operational Practices,Agent Untraceability,,,Medium,P2,Detected cues: quality management. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Requirement,E014,,Accountability,E014: Share transparency reports,Merged with E017 - see changelog (Q1 2026 update),,Agent Untraceability,,,High,P2,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Control,E014.1,E014,Accountability,E014.1 Not applicable,"This requirement was merged into E017 at the Q1, 2026 standard update. See aiuc-1.com/changelog for more information",,Agent Untraceability,,,High,P2,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Requirement,E015,,Accountability,E015: Log model activity,"Maintain logs of AI system processes, actions, and model outputs where permitted to support incident investigation, auditing, and explanation of AI system behavior",,Agent Untraceability,,ASI10,Medium,OK,Detected cues: audit. ASI label inferred: ASI10 (Rogue Agents). Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Control,E015.1,E015,Accountability,E015.1 Config: Logging implementation,"- Capturing system activity details to support incident investigation and behavior explanation. For example, logging inputs, processing steps, outputs, and metadata for AI systems.",Technical Implementation,Agent Untraceability,,ASI10,Medium,OK,"Detected cues: logging, audit. ASI label inferred: ASI10 (Rogue Agents). Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Control,E015.2,E015,Accountability,E015.2 Config: Log storage,"- Implementing log storage with appropriate retention periods, access controls, and data sanitation to support auditing and incident response.",Technical Implementation,Agent Untraceability,,ASI10,Medium,P1,"Detected cues: rag, tool, audit, pii. ASI label inferred: ASI10 (Rogue Agents). Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Control,E015.3,E015,Accountability,E015.3 Config: Log integrity protection,"- Implementing technical controls to ensure logs are tamper-evident and independently verifiable. For example, ensuring that captured records cannot be modified or deleted after creation, ensuring sequence integrity so that gaps, omissions, and reordering are detectable during incident investigation or audit.",Technical Implementation,Agent Untraceability,,ASI04,High,OK,"Log integrity protection ensures audit trails cannot be tampered with, directly supporting traceability and forensic investigation."
Requirement,E016,,Accountability,E016: Implement AI disclosure mechanisms,Implement clear disclosure mechanisms to inform users when they are interacting with AI systems rather than humans,,Agent Untraceability,,,Medium,P2,Detected cues: disclosure. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Control,E016.1,E016,Accountability,E016.1 Demonstration: Text AI disclosure,"- Implementing AI disclosure for text-based interactions. For example, displaying clear notices when users interact with AI chatbots, virtual assistants, or automated messaging systems.",Technical Implementation,Agent Untraceability,,,Medium,P2,Detected cues: disclosure. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Control,E016.2,E016,Accountability,E016.2 Demonstration: Voice AI disclosure,"- Implementing AI disclosure for voice-based interactions. For example, providing audio notifications at the beginning of voice calls or interactions.",Technical Implementation,Agent Untraceability,Agent Identity Impersonation,,Medium,P2,Detected cues: disclosure. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Identity Impersonation.
Control,E016.3,E016,Accountability,E016.3 Demonstration: Labelling AI-generated content,"- Labelling AI-generated media and documents in a machine-readable and detectable format. For example, marking AI-generated images, videos, audio, or documents with metadata, watermarks, or labels indicating artificial generation.",Technical Implementation,Agent Untraceability,,,Medium,P2,"Detected cues: credential, disclosure, label. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Control,E016.4,E016,Accountability,E016.4 Demonstration: Automation AI disclosure,"- Disclosing when autonomous AI agents or automated workflows are performing actions. For example, notifying users when AI systems are making decisions, processing requests, or executing tasks without human oversight.",Technical Implementation,Agent Untraceability,,ASI09,Medium,P2,"Detected cues: disclosure, label. ASI label inferred: ASI09 (Human-Agent Trust Exploitation). Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Control,E016.5,E016,Accountability,E016.5 Demonstration: System response to AI inquiry,- Establishing reactive disclosure capabilities when users ask if they are interacting with AI.,Technical Implementation,Agent Untraceability,Agent Identity Impersonation,,Medium,P2,Detected cues: disclosure. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Identity Impersonation.
Requirement,E017,,Accountability,E017: Document system transparency policy,"Establish a system transparency policy and maintain a repository of model cards, datasheets, and interpretability reports for major systems",,Agent Untraceability,,,High,OK,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Control,E017.1,E017,Accountability,E017.1 Documentation: Transparency policy,"- Establishing a transparency policy defining documentation requirements for major AI systems. For example, specifying required documentation elements, establishing documentation standards.",Legal Policies,Agent Untraceability,,,High,OK,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Control,E017.2,E017,Accountability,E017.2 Documentation: Model cards and system documentation,"- Creating transparency documentation for major AI systems. For example, documenting system characteristics, data provenance, and model behavior for systems meeting documentation criteria.",Technical Implementation,Agent Untraceability,,ASI10,High,OK,"Detected cues: rce, provenance. ASI label inferred: ASI10 (Rogue Agents). Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Control,E017.3,E017,Accountability,E017.3 Documentation: Transparency report sharing policy,"- Defining policies for sharing transparency documentation with external stakeholders. For example, establishing when reports are shared, specifying recipient categories, determining what information is disclosed to each stakeholder type.
- Documenting sharing procedures including approval workflows, version control, and distribution tracking. For example, establishing approval requirements before external sharing, maintaining version control of shared documents, tracking which stakeholders received which versions.",Operational Practices,Agent Untraceability,,ASI09,High,OK,"Detected cues: disclosure, approval. ASI label inferred: ASI09 (Human-Agent Trust Exploitation). Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Requirement,F001,,Society,F001: Prevent AI cyber misuse,Implement or document guardrails to prevent AI-enabled misuse for cyber attacks and exploitation,,Agentic AI Tool Misuse,Agent Access Control Violation,,High,OK,Cyber misuse guardrails prevent agents from using tools for malicious purposes. Access controls provide defense in depth.
Control,F001.1,F001,Society,F001.1 Documentation: Foundation model cyber capabilities,- Results of testing from foundation model developer on offensive cyber capabilities and mitigations.,Legal Policies,Agent Supply Chain & Dependency Risk,,,Medium,P1,Detected cues: testing. Mapped primarily to AIVSS core risk 'Agent Supply Chain & Dependency Risk' as the most direct agentic failure mode mitigated.
Control,F001.2,F001,Society,F001.2 Config: Cyber use detection,"- Implementing malicious use detection and blocking. For example, deploying available content filtering to detect requests for malicious code generation, attack planning, and vulnerability exploitation guidance, configuring automated blocking of cyber attack assistance requests, maintaining databases of prohibited use patterns.",Technical Implementation,Agentic AI Tool Misuse,Agent Untraceability,ASI02,High,OK,Malicious use detection prevents agents from being used for cyber attacks. Logging of blocked requests supports traceability.
Requirement,F002,,Society,F002: Prevent catastrophic misuse,Implement or document guardrails to prevent AI-enabled catastrophic system misuse (chemical / bio / radio / nuclear),,Insecure Agent Critical Systems Interaction,Agentic AI Tool Misuse,,High,OK,Catastrophic misuse prevention focuses on protecting critical systems from agent-induced harm. Tool misuse controls are secondary.
Control,F002.1,F002,Society,F002.1 Documentation: Foundation model CBRN capabilities,- Results of testing from foundation model developer on CBRN capabilities and mitigations.,Legal Policies,Agent Supply Chain & Dependency Risk,,,Medium,P1,"Detected cues: eval, testing. Mapped primarily to AIVSS core risk 'Agent Supply Chain & Dependency Risk' as the most direct agentic failure mode mitigated."
Control,F002.2,F002,Society,F002.2 Config: Catastrophic misuse monitoring,"- Establishing catastrophic misuse monitoring. For example, monitoring AI system interactions for patterns indicating weapons development or mass harm intent, implementing real-time alerting for detected catastrophic misuse attempts, documenting suspicious queries and system responses.",Technical Implementation,Agent Untraceability,,,High,OK,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
